Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
308,1,12.42,1,1,2,112
281,1,12.610000000000001,1,1,2,112
302,2,48.42,1,3,3,133
308,1,176.37,1,1,4,114
270,4,72.16,2,4,4,244
296,1,23.83,1,1,2,112
199,1,86.42,2,1,4,214
300,1,16.91,1,1,2,112
345,1,12.18,1,1,2,112
353,1,55.15,1,1,3,113
257,1,12.510000000000002,2,1,2,212
318,1,13.68,1,1,2,112
317,1,2.11,1,1,1,111
316,2,55.31,1,3,3,133
347,1,66.85,1,1,4,114
286,1,16.37,1,1,2,112
153,1,25.12,2,1,3,213
358,1,85.91,1,1,4,114
330,1,10.950000000000001,1,1,2,112
351,1,11.37,1,1,2,112
311,1,5.59,1,1,1,111
171,1,13.299999999999999,2,1,2,212
319,2,45.82,1,3,3,133
135,6,30.52,3,4,3,343
262,1,42.41,2,1,3,213
350,1,6.07,1,1,1,111
162,1,14.65,2,1,2,212
347,1,15.8,1,1,2,112
284,1,15.27,1,1,2,112
293,1,4.02,1,1,1,111
317,4,86.07000000000001,1,4,4,144
295,1,4.37,1,1,1,111
323,3,140.72,1,3,4,134
341,3,21.21,1,3,2,132
271,5,97.15,2,4,4,244
276,1,98.22,1,1,4,114
323,2,25.509999999999998,1,3,3,133
271,1,4.77,2,1,1,211
196,7,97.23,2,4,4,244
363,1,13.129999999999999,1,1,2,112
100,2,31.52,3,3,3,333
322,1,34.33,1,1,3,113
331,1,8.32,1,1,1,111
331,3,40.92,1,3,3,133
286,2,231.35,1,3,4,134
316,2,15.41,1,3,2,132
350,1,40.55,1,1,3,113
94,2,17.82,3,3,2,332
303,6,458.81,1,4,4,144
276,1,15.760000000000002,1,1,2,112
344,1,5.88,1,1,1,111
289,6,449.41999999999996,1,4,4,144
177,2,37.53,2,3,3,233
241,1,8.8,2,1,1,211
119,1,39.69,3,1,3,313
254,1,11.87,2,1,2,212
360,1,4.19,1,1,1,111
216,2,126.53999999999999,2,3,4,234
269,2,27.48,2,3,3,233
313,1,3.21,1,1,1,111
328,1,15.29,1,1,2,112
241,2,29.939999999999998,2,3,3,233
291,2,35.29,1,3,3,133
361,1,64.81,1,1,4,114
300,1,7.23,1,1,1,111
234,1,5.66,2,1,1,211
332,1,11.18,1,1,2,112
277,3,35.75,1,3,3,133
357,1,7.23,1,1,1,111
307,2,14.879999999999999,1,3,2,132
342,4,192.89,1,4,4,144
263,1,3.0,2,1,1,211
360,1,16.43,1,1,2,112
338,1,14.86,1,1,2,112
150,1,21.869999999999997,3,1,2,312
297,2,18.27,1,3,2,132
354,1,22.38,1,1,2,112
235,2,5.79,2,3,1,231
316,1,6.35,1,1,1,111
252,4,74.67,2,4,4,244
317,1,9.0,1,1,1,111
346,1,10.5,1,1,2,112
336,2,16.450000000000003,1,3,2,132
360,1,7.41,1,1,1,111
358,1,41.41,1,1,3,113
346,1,7.44,1,1,1,111
340,1,16.31,1,1,2,112
250,1,10.81,2,1,2,212
205,2,22.89,2,3,2,232
33,1,3.88,4,1,1,411
232,1,20.75,2,1,2,212
239,1,5.88,2,1,1,211
310,2,38.74,1,3,3,133
290,1,1.5,1,1,1,111
115,1,40.19,3,1,3,313
146,1,98.69000000000001,3,1,4,314
195,1,2.43,2,1,1,211
323,2,16.81,1,3,2,132
334,1,44.55,1,1,3,113
310,1,14.25,1,1,2,112
255,1,6.35,2,1,1,211
354,1,70.26,1,1,4,114
137,1,18.34,3,1,2,312
338,1,5.79,1,1,1,111
271,7,353.63,2,4,4,244
309,1,2.37,1,1,1,111
271,3,56.82000000000001,2,3,3,233
303,1,54.9,1,1,3,113
320,1,14.52,1,1,2,112
337,2,8.59,1,3,1,131
333,1,10.16,1,1,1,111
288,1,2.59,1,1,1,111
284,1,71.7,1,1,4,114
97,3,637.0,3,3,4,334
198,1,5.32,2,1,1,211
339,3,10.69,1,3,2,132
143,1,26.8,3,1,3,313
364,1,58.99,1,1,3,113
211,2,90.99000000000001,2,3,4,234
354,1,62.52,1,1,3,113
309,3,278.22,1,3,4,134
332,1,183.77,1,1,4,114
264,5,64.79,2,4,4,244
289,1,2.11,1,1,1,111
319,1,48.489999999999995,1,1,3,113
281,4,67.71,1,4,4,144
321,1,5.12,1,1,1,111
286,3,233.6,1,3,4,134
274,1,30.52,1,1,3,113
299,1,46.79,1,1,3,113
363,1,4.38,1,1,1,111
159,1,5.56,2,1,1,211
327,4,122.87,1,4,4,144
350,1,15.02,1,1,2,112
364,1,13.1,1,1,2,112
353,1,62.52,1,1,3,113
308,2,21.94,1,3,2,132
325,2,196.39,1,3,4,134
355,1,25.89,1,1,3,113
330,1,16.86,1,1,2,112
293,2,23.990000000000002,1,3,3,133
339,2,211.64000000000001,1,3,4,134
327,1,6.68,1,1,1,111
318,1,7.94,1,1,1,111
296,3,49.55,1,3,3,133
265,1,7.12,2,1,1,211
274,1,6.75,1,1,1,111
147,4,48.8,3,4,3,343
34,1,13.0,4,1,2,412
273,4,284.15,1,4,4,144
139,1,11.0,3,1,2,312
289,1,26.060000000000002,1,1,3,113
185,4,112.03,2,4,4,244
230,2,49.900000000000006,2,3,3,233
238,1,12.23,2,1,2,212
358,1,2.13,1,1,1,111
123,6,263.49,3,4,4,344
309,2,25.46,1,3,3,133
356,1,7.3,1,1,1,111
320,1,13.07,1,1,2,112
127,4,36.97,3,4,3,343
136,6,35.67,3,4,3,343
157,2,9.06,2,3,1,231
287,2,21.69,1,3,2,132
299,1,15.25,1,1,2,112
288,3,83.62,1,3,4,134
327,1,3.28,1,1,1,111
283,4,106.72,1,4,4,144
354,1,15.149999999999999,1,1,2,112
320,1,117.32,1,1,4,114
251,2,29.1,2,3,3,233
347,1,538.88,1,1,4,114
256,1,6.75,2,1,1,211
355,1,13.09,1,1,2,112
331,1,21.22,1,1,2,112
98,2,22.310000000000002,3,3,2,332
235,2,12.0,2,3,2,232
188,2,4.07,2,3,1,231
260,1,19.67,2,1,2,212
337,1,36.97,1,1,3,113
333,1,18.0,1,1,2,112
320,1,42.16,1,1,3,113
267,1,22.54,2,1,2,212
250,1,11.69,2,1,2,212
304,3,644.64,1,3,4,134
285,3,36.87,1,3,3,133
182,1,7.23,2,1,1,211
284,1,1.06,1,1,1,111
302,2,12.450000000000001,1,3,2,132
271,1,90.33,2,1,4,214
148,2,19.57,3,3,2,332
314,1,8.46,1,1,1,111
309,1,42.42,1,1,3,113
221,1,28.05,2,1,3,213
233,1,3.69,2,1,1,211
317,1,62.37,1,1,3,113
333,1,84.81,1,1,4,114
326,1,7.9,1,1,1,111
277,2,73.72000000000001,1,3,4,134
281,5,46.18,1,4,3,143
142,1,15.12,3,1,2,312
272,3,163.95999999999998,2,3,4,234
267,4,111.32,2,4,4,244
305,1,21.3,1,1,2,112
32,3,23.39,4,3,2,432
286,7,555.29,1,4,4,144
313,2,173.45000000000002,1,3,4,134
260,1,6.21,2,1,1,211
360,1,10.27,1,1,2,112
334,1,7.41,1,1,1,111
281,1,10.02,1,1,1,111
340,1,14.620000000000001,1,1,2,112
354,1,4.26,1,1,1,111
303,6,199.78,1,4,4,144
297,13,131.47,1,4,4,144
172,1,7.5,2,1,1,211
344,1,4.12,1,1,1,111
206,1,11.04,2,1,2,212
298,4,103.29,1,4,4,144
330,1,9.0,1,1,1,111
290,1,7.57,1,1,1,111
271,8,151.27,2,4,4,244
329,1,19.29,1,1,2,112
287,2,9.69,1,3,1,131
250,2,12.56,2,3,2,232
297,2,14.02,1,3,2,132
248,1,6.07,2,1,1,211
249,8,65.59,2,4,4,244
289,6,44.71,1,4,3,143
296,1,16.240000000000002,1,1,2,112
324,1,5.87,1,1,1,111
290,1,16.73,1,1,2,112
122,2,22.88,3,3,2,332
334,1,8.52,1,1,1,111
355,1,13.170000000000002,1,1,2,112
258,2,74.73,2,3,4,234
307,1,72.43,1,1,4,114
186,2,22.42,2,3,2,232
358,1,11.030000000000001,1,1,2,112
337,1,6.61,1,1,1,111
295,3,104.88,1,3,4,134
330,2,28.980000000000004,1,3,3,133
283,1,10.969999999999999,1,1,2,112
354,1,35.69,1,1,3,113
285,1,47.120000000000005,1,1,3,113
178,1,44.37,2,1,3,213
355,1,7.94,1,1,1,111
138,7,169.93,3,4,4,344
199,1,4.49,2,1,1,211
20,1,13.93,4,1,2,412
299,1,50.69,1,1,3,113
338,3,78.88,1,3,4,134
337,1,10.5,1,1,2,112
181,2,8.04,2,3,1,231
278,1,21.83,1,1,2,112
350,1,10.46,1,1,2,112
292,1,14.27,1,1,2,112
349,1,45.41,1,1,3,113
337,1,213.57,1,1,4,114
339,1,92.17999999999999,1,1,4,114
316,1,7.539999999999999,1,1,1,111
307,2,79.21,1,3,4,134
281,1,15.18,1,1,2,112
303,1,25.29,1,1,3,113
300,2,48.09,1,3,3,133
270,1,14.97,2,1,2,212
324,1,13.059999999999999,1,1,2,112
206,2,85.09,2,3,4,234
347,1,25.689999999999998,1,1,3,113
344,1,10.02,1,1,1,111
337,1,3.41,1,1,1,111
278,5,84.88999999999999,1,4,4,144
140,2,12.0,3,3,2,332
258,9,645.78,2,4,4,244
307,1,4.91,1,1,1,111
284,1,6.33,1,1,1,111
258,2,21.78,2,3,2,232
299,2,115.78999999999999,1,3,4,134
298,4,777.1800000000001,1,4,4,144
299,1,4.02,1,1,1,111
346,1,11.25,1,1,2,112
253,5,33.989999999999995,2,4,3,243
364,1,6.75,1,1,1,111
255,9,82.78,2,4,4,244
339,2,11.68,1,3,2,132
221,3,84.06,2,3,4,234
299,5,120.53999999999999,1,4,4,144
127,2,73.71,3,3,4,334
303,1,12.25,1,1,2,112
345,2,17.259999999999998,1,3,2,132
297,1,17.18,1,1,2,112
322,1,36.97,1,1,3,113
256,7,89.14,2,4,4,244
212,2,92.93,2,3,4,234
315,1,20.19,1,1,2,112
332,1,6.62,1,1,1,111
309,3,37.42,1,3,3,133
83,2,14.309999999999999,3,3,2,332
351,1,68.72999999999999,1,1,4,114
313,1,3.53,1,1,1,111
329,1,19.51,1,1,2,112
170,1,40.13,2,1,3,213
243,1,16.38,2,1,2,212
290,1,19.63,1,1,2,112
289,1,3.82,1,1,1,111
305,7,84.3,1,4,4,144
335,1,3.96,1,1,1,111
329,2,34.03,1,3,3,133
311,1,9.0,1,1,1,111
341,1,5.19,1,1,1,111
308,1,2.21,1,1,1,111
296,1,16.36,1,1,2,112
360,1,15.36,1,1,2,112
301,2,15.82,1,3,2,132
330,2,70.27,1,3,4,134
321,1,3.81,1,1,1,111
269,1,11.0,2,1,2,212
141,1,6.75,3,1,1,311
352,1,36.63,1,1,3,113
283,1,4.02,1,1,1,111
324,1,6.68,1,1,1,111
143,2,75.81,3,3,4,334
325,1,68.65,1,1,4,114
346,1,39.75,1,1,3,113
207,1,22.33,2,1,2,212
187,6,110.31,2,4,4,244
275,1,9.5,1,1,1,111
220,1,34.629999999999995,2,1,3,213
333,1,8.18,1,1,1,111
302,1,14.44,1,1,2,112
358,1,21.86,1,1,2,112
194,1,5.38,2,1,1,211
302,2,88.62,1,3,4,134
313,2,13.31,1,3,2,132
321,4,414.46,1,4,4,144
336,1,5.79,1,1,1,111
271,1,21.86,2,1,2,212
138,5,150.93,3,4,4,344
364,1,10.43,1,1,2,112
232,1,4.81,2,1,1,211
185,1,6.54,2,1,1,211
256,1,3.88,2,1,1,211
275,3,32.620000000000005,1,3,3,133
24,1,15.08,4,1,2,412
282,2,51.19,1,3,3,133
304,1,18.880000000000003,1,1,2,112
287,1,7.44,1,1,1,111
177,3,142.83,2,3,4,234
338,1,7.88,1,1,1,111
272,4,81.33,2,4,4,244
293,1,2.97,1,1,1,111
327,2,60.59,1,3,3,133
210,2,31.43,2,3,3,233
179,2,67.23,2,3,4,234
296,3,31.8,1,3,3,133
295,3,52.15,1,3,3,133
241,1,9.13,2,1,1,211
312,1,19.12,1,1,2,112
286,1,200.63,1,1,4,114
149,2,45.82,3,3,3,333
305,1,33.4,1,1,3,113
313,2,28.36,1,3,3,133
185,2,208.23000000000002,2,3,4,234
275,6,164.98,1,4,4,144
333,1,3.34,1,1,1,111
236,1,11.5,2,1,2,212
364,1,15.19,1,1,2,112
362,1,4.91,1,1,1,111
353,1,25.53,1,1,3,113
319,1,21.54,1,1,2,112
314,1,5.03,1,1,1,111
283,2,288.31,1,3,4,134
311,1,15.329999999999998,1,1,2,112
318,1,15.61,1,1,2,112
319,1,14.37,1,1,2,112
119,3,32.08,3,3,3,333
255,1,4.02,2,1,1,211
255,1,5.73,2,1,1,211
302,1,87.03,1,1,4,114
206,1,7.27,2,1,1,211
285,1,25.18,1,1,3,113
48,1,11.75,4,1,2,412
275,1,12.64,1,1,2,112
256,2,25.540000000000003,2,3,3,233
318,1,24.93,1,1,3,113
145,2,14.760000000000002,3,3,2,332
227,3,62.04,2,3,3,233
240,2,66.04,2,3,4,234
348,1,26.740000000000002,1,1,3,113
260,3,47.480000000000004,2,3,3,233
30,1,7.5,4,1,1,411
320,1,18.8,1,1,2,112
32,1,21.12,4,1,2,412
312,2,10.440000000000001,1,3,2,132
249,1,116.46,2,1,4,214
281,2,15.11,1,3,2,132
316,1,55.43,1,1,3,113
309,2,39.82,1,3,3,133
351,1,7.74,1,1,1,111
171,1,6.75,2,1,1,211
337,1,22.19,1,1,2,112
358,1,18.54,1,1,2,112
213,1,8.46,2,1,1,211
334,1,48.150000000000006,1,1,3,113
276,1,3.18,1,1,1,111
282,1,48.69,1,1,3,113
327,1,9.35,1,1,1,111
358,1,1.36,1,1,1,111
266,3,24.92,2,3,3,233
282,1,11.18,1,1,2,112
278,1,4.26,1,1,1,111
102,3,41.83,3,3,3,333
284,5,75.8,1,4,4,144
320,1,23.42,1,1,2,112
82,1,25.98,3,1,3,313
310,1,3.07,1,1,1,111
131,2,73.5,3,3,4,334
106,1,19.68,3,1,2,312
171,1,35.37,2,1,3,213
270,1,5.73,2,1,1,211
295,2,15.280000000000001,1,3,2,132
278,3,41.9,1,3,3,133
344,1,15.99,1,1,2,112
128,1,11.62,3,1,2,312
262,2,79.08,2,3,4,234
353,1,6.01,1,1,1,111
343,1,7.9,1,1,1,111
310,1,16.58,1,1,2,112
336,1,14.92,1,1,2,112
339,1,13.14,1,1,2,112
281,3,38.230000000000004,1,3,3,133
337,1,7.26,1,1,1,111
336,1,26.88,1,1,3,113
257,2,30.57,2,3,3,233
164,1,18.95,2,1,2,212
320,2,75.67,1,3,4,134
162,2,31.229999999999997,2,3,3,233
330,1,24.0,1,1,3,113
289,4,66.59,1,4,4,144
303,1,4.44,1,1,1,111
301,5,61.59,1,4,3,143
292,1,18.27,1,1,2,112
261,1,7.789999999999999,2,1,1,211
157,8,173.57999999999998,2,4,4,244
348,1,8.46,1,1,1,111
339,2,35.42,1,3,3,133
344,1,5.45,1,1,1,111
152,1,92.93,2,1,4,214
351,1,10.26,1,1,2,112
132,2,16.5,3,3,2,332
271,1,83.2,2,1,4,214
308,3,51.86,1,3,3,133
124,1,10.39,3,1,2,312
337,1,2.86,1,1,1,111
294,2,43.44,1,3,3,133
132,2,12.43,3,3,2,332
343,1,6.54,1,1,1,111
145,2,25.98,3,3,3,333
308,1,13.07,1,1,2,112
313,1,9.93,1,1,1,111
287,2,62.5,1,3,3,133
239,1,4.57,2,1,1,211
324,2,200.29,1,3,4,134
355,1,32.629999999999995,1,1,3,113
329,1,16.14,1,1,2,112
250,1,5.01,2,1,1,211
222,4,50.18,2,4,3,243
331,2,457.35,1,3,4,134
175,1,17.93,2,1,2,212
305,2,40.0,1,3,3,133
35,1,42.09,4,1,3,413
88,1,11.9,3,1,2,312
215,5,174.62,2,4,4,244
323,1,6.609999999999999,1,1,1,111
318,1,7.279999999999999,1,1,1,111
253,2,406.36,2,3,4,234
258,1,5.87,2,1,1,211
142,2,28.15,3,3,3,333
230,1,35.64,2,1,3,213
340,1,42.2,1,1,3,113
40,1,45.13,4,1,3,413
335,1,10.09,1,1,1,111
333,1,11.05,1,1,2,112
256,1,13.66,2,1,2,212
288,4,24.57,1,4,3,143
251,5,49.11,2,4,3,243
262,2,15.01,2,3,2,232
292,1,1.77,1,1,1,111
265,2,19.32,2,3,2,232
300,1,17.52,1,1,2,112
305,2,628.17,1,3,4,134
343,1,7.84,1,1,1,111
97,1,7.15,3,1,1,311
174,1,2.37,2,1,1,211
262,1,4.02,2,1,1,211
290,2,59.209999999999994,1,3,3,133
207,5,77.71,2,4,4,244
273,1,13.16,1,1,2,112
264,1,6.87,2,1,1,211
346,1,16.83,1,1,2,112
354,1,51.07,1,1,3,113
334,2,20.009999999999998,1,3,2,132
312,1,326.89,1,1,4,114
299,1,39.51,1,1,3,113
291,1,11.79,1,1,2,112
231,1,22.630000000000003,2,1,2,212
344,1,10.1,1,1,1,111
233,1,2.06,2,1,1,211
230,1,4.27,2,1,1,211
241,1,4.57,2,1,1,211
347,1,40.76,1,1,3,113
166,1,19.02,2,1,2,212
331,1,12.0,1,1,2,112
359,1,13.04,1,1,2,112
200,1,6.35,2,1,1,211
359,1,33.63,1,1,3,113
285,1,6.75,1,1,1,111
205,1,4.38,2,1,1,211
286,1,3.82,1,1,1,111
248,1,4.5,2,1,1,211
289,2,10.709999999999999,1,3,2,132
283,2,17.21,1,3,2,132
312,1,8.94,1,1,1,111
240,1,62.16,2,1,3,213
289,2,360.71,1,3,4,134
328,1,7.77,1,1,1,111
245,2,11.86,2,3,2,232
244,1,29.75,2,1,3,213
287,1,7.26,1,1,1,111
268,3,33.38,2,3,3,233
228,1,13.41,2,1,2,212
243,4,56.730000000000004,2,4,3,243
236,1,6.12,2,1,1,211
331,1,3.22,1,1,1,111
304,1,91.0,1,1,4,114
315,1,44.92,1,1,3,113
281,6,290.49,1,4,4,144
290,6,189.4,1,4,4,144
304,1,6.35,1,1,1,111
233,3,71.36,2,3,4,234
289,1,16.56,1,1,2,112
278,2,14.34,1,3,2,132
276,4,83.78,1,4,4,144
275,1,18.63,1,1,2,112
232,3,21.009999999999998,2,3,2,232
344,1,2.59,1,1,1,111
86,1,8.75,3,1,1,311
347,1,2.59,1,1,1,111
301,3,64.88,1,3,4,134
360,1,25.2,1,1,3,113
312,3,130.06,1,3,4,134
247,5,59.199999999999996,2,4,3,243
298,5,91.78999999999999,1,4,4,144
337,2,125.11,1,3,4,134
353,1,14.17,1,1,2,112
264,2,40.650000000000006,2,3,3,233
348,2,35.64,1,3,3,133
278,1,5.32,1,1,1,111
323,1,77.4,1,1,4,114
311,3,68.93,1,3,4,134
320,1,154.54,1,1,4,114
292,1,231.43,1,1,4,114
155,1,9.48,2,1,1,211
251,3,13.21,2,3,2,232
323,1,15.530000000000001,1,1,2,112
128,2,28.56,3,3,3,333
323,2,14.46,1,3,2,132
298,1,327.13,1,1,4,114
262,1,15.88,2,1,2,212
187,1,146.79,2,1,4,214
298,4,36.09,1,4,3,143
73,6,140.1,3,4,4,344
287,1,11.18,1,1,2,112
107,8,204.0,3,4,4,344
321,1,1.77,1,1,1,111
325,1,25.06,1,1,3,113
273,1,19.17,1,1,2,112
318,3,20.68,1,3,2,132
350,1,9.11,1,1,1,111
296,1,11.69,1,1,2,112
249,5,66.95,2,4,4,244
218,2,16.130000000000003,2,3,2,232
292,3,110.78,1,3,4,134
282,1,7.38,1,1,1,111
311,2,80.41,1,3,4,134
241,1,14.46,2,1,2,212
225,4,112.7,2,4,4,244
213,2,14.26,2,3,2,232
323,1,2.11,1,1,1,111
345,1,4.94,1,1,1,111
262,4,513.4,2,4,4,244
274,2,142.51999999999998,1,3,4,134
302,4,67.16,1,4,4,144
178,5,62.739999999999995,2,4,3,243
247,1,10.5,2,1,2,212
303,1,2.11,1,1,1,111
277,2,23.48,1,3,2,132
75,4,263.55,3,4,4,344
333,2,92.44,1,3,4,134
343,1,7.63,1,1,1,111
250,1,18.88,2,1,2,212
330,1,57.51,1,1,3,113
266,1,8.88,2,1,1,211
352,1,28.4,1,1,3,113
226,1,14.25,2,1,2,212
45,2,16.22,4,3,2,432
252,1,3.13,2,1,1,211
255,1,20.85,2,1,2,212
116,5,236.46,3,4,4,344
312,1,2.0,1,1,1,111
259,2,26.93,2,3,3,233
340,1,59.62,1,1,3,113
153,4,151.7,2,4,4,244
236,1,65.43,2,1,4,214
295,2,165.01,1,3,4,134
316,1,6.75,1,1,1,111
246,1,47.620000000000005,2,1,3,213
222,7,152.42,2,4,4,244
185,2,27.0,2,3,3,233
291,1,12.71,1,1,2,112
287,1,9.809999999999999,1,1,1,111
293,1,17.54,1,1,2,112
245,5,122.36,2,4,4,244
345,1,8.16,1,1,1,111
358,1,11.18,1,1,2,112
272,1,4.57,2,1,1,211
260,3,90.23,2,3,4,234
316,5,39.43,1,4,3,143
306,1,9.13,1,1,1,111
322,1,6.5,1,1,1,111
334,1,8.76,1,1,1,111
260,4,50.1,2,4,3,243
344,1,17.55,1,1,2,112
119,1,16.38,3,1,2,312
175,1,11.370000000000001,2,1,2,212
176,1,9.559999999999999,2,1,1,211
259,2,19.62,2,3,2,232
248,6,163.66,2,4,4,244
292,8,162.26,1,4,4,144
292,1,94.5,1,1,4,114
251,3,12.54,2,3,2,232
356,2,26.6,1,3,3,133
318,2,91.17,1,3,4,134
261,3,12.690000000000001,2,3,2,232
248,1,5.8,2,1,1,211
269,1,3.93,2,1,1,211
258,4,126.78,2,4,4,244
322,2,20.58,1,3,2,132
317,1,14.37,1,1,2,112
335,3,32.33,1,3,3,133
349,2,44.87,1,3,3,133
269,7,70.8,2,4,4,244
298,3,34.07,1,3,3,133
217,2,25.75,2,3,3,233
358,1,42.87,1,1,3,113
283,1,24.82,1,1,3,113
345,1,2.37,1,1,1,111
192,1,5.46,2,1,1,211
307,1,11.04,1,1,2,112
340,1,9.68,1,1,1,111
256,1,19.18,2,1,2,212
257,1,6.07,2,1,1,211
348,1,23.57,1,1,2,112
289,2,21.36,1,3,2,132
302,2,25.369999999999997,1,3,3,133
326,1,5.73,1,1,1,111
335,1,7.09,1,1,1,111
257,1,3.44,2,1,1,211
185,2,14.25,2,3,2,232
230,4,41.62,2,4,3,243
305,1,6.81,1,1,1,111
244,3,63.93000000000001,2,3,4,234
128,1,6.75,3,1,1,311
231,1,5.12,2,1,1,211
272,1,4.3,2,1,1,211
263,2,33.46,2,3,3,233
354,1,15.66,1,1,2,112
345,1,6.9,1,1,1,111
340,1,10.32,1,1,2,112
302,7,507.92,1,4,4,144
281,8,308.3,1,4,4,144
244,1,35.47,2,1,3,213
264,4,35.93,2,4,3,243
309,4,130.95,1,4,4,144
274,3,30.06,1,3,3,133
133,1,13.97,3,1,2,312
292,3,53.010000000000005,1,3,3,133
78,1,7.43,3,1,1,311
275,2,27.56,1,3,3,133
289,1,25.44,1,1,3,113
327,1,9.38,1,1,1,111
318,1,11.52,1,1,2,112
322,1,8.49,1,1,1,111
362,1,1.02,1,1,1,111
344,2,54.41,1,3,3,133
171,2,268.04,2,3,4,234
343,2,57.7,1,3,3,133
287,1,9.85,1,1,1,111
268,1,10.81,2,1,2,212
228,1,10.489999999999998,2,1,2,212
250,3,59.68,2,3,3,233
346,1,13.79,1,1,2,112
224,1,3.62,2,1,1,211
360,1,1.5,1,1,1,111
314,1,26.23,1,1,3,113
248,1,6.35,2,1,1,211
256,4,143.75,2,4,4,244
318,2,18.939999999999998,1,3,2,132
347,1,3.42,1,1,1,111
128,1,12.62,3,1,2,312
338,1,29.17,1,1,3,113
344,1,3.0,1,1,1,111
225,1,13.58,2,1,2,212
306,1,19.11,1,1,2,112
99,2,11.75,3,3,2,332
218,1,68.48,2,1,4,214
266,6,62.81,2,4,3,243
128,3,71.35,3,3,4,334
262,2,17.51,2,3,2,232
175,1,10.57,2,1,2,212
166,1,7.25,2,1,1,211
76,1,8.32,3,1,1,311
327,1,3.82,1,1,1,111
81,3,18.65,3,3,2,332
351,1,7.3,1,1,1,111
344,2,20.119999999999997,1,3,2,132
174,3,40.74,2,3,3,233
359,1,12.84,1,1,2,112
295,1,16.46,1,1,2,112
331,1,5.03,1,1,1,111
308,2,15.09,1,3,2,132
316,1,6.95,1,1,1,111
352,1,3.48,1,1,1,111
172,1,23.93,2,1,3,213
250,2,49.129999999999995,2,3,3,233
355,1,4.57,1,1,1,111
309,1,9.88,1,1,1,111
337,1,3.9,1,1,1,111
283,4,26.900000000000002,1,4,3,143
352,2,18.64,1,3,2,132
100,1,9.39,3,1,1,311
109,1,9.66,3,1,1,311
42,3,58.620000000000005,4,3,3,433
80,1,3.74,3,1,1,311
322,3,29.46,1,3,3,133
259,1,36.01,2,1,3,213
306,2,54.4,1,3,3,133
298,1,6.87,1,1,1,111
104,3,59.96,3,3,3,333
291,2,12.27,1,3,2,132
331,1,6.24,1,1,1,111
281,1,29.619999999999997,1,1,3,113
320,1,5.03,1,1,1,111
288,1,65.3,1,1,4,114
216,2,91.0,2,3,4,234
273,1,18.48,1,1,2,112
121,2,19.81,3,3,2,332
279,1,9.0,1,1,1,111
245,4,33.019999999999996,2,4,3,243
244,2,31.52,2,3,3,233
189,3,49.84,2,3,3,233
332,3,20.4,1,3,2,132
247,2,12.44,2,3,2,232
364,1,30.0,1,1,3,113
230,2,27.86,2,3,3,233
201,1,7.99,2,1,1,211
148,1,1.88,3,1,1,311
178,1,3.18,2,1,1,211
235,2,10.190000000000001,2,3,2,232
301,1,36.730000000000004,1,1,3,113
244,1,10.37,2,1,2,212
308,4,51.129999999999995,1,4,3,143
284,1,11.56,1,1,2,112
358,1,15.8,1,1,2,112
214,1,3.04,2,1,1,211
300,2,40.6,1,3,3,133
307,5,155.97,1,4,4,144
104,2,4.3100000000000005,3,3,1,331
361,1,6.949999999999999,1,1,1,111
258,3,70.61,2,3,4,234
363,1,11.73,1,1,2,112
287,3,57.59,1,3,3,133
361,1,7.85,1,1,1,111
