customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
82,171,1,13.299999999999999,2,1,2,212
83,319,2,45.82,1,3,3,133
84,135,6,30.52,3,4,3,343
85,262,1,42.41,2,1,3,213
86,350,1,6.07,1,1,1,111
87,162,1,14.65,2,1,2,212
88,347,1,15.8,1,1,2,112
89,284,1,15.27,1,1,2,112
90,293,1,4.02,1,1,1,111
91,317,4,86.07000000000001,1,4,4,144
92,295,1,4.37,1,1,1,111
93,323,3,140.72,1,3,4,134
94,341,3,21.21,1,3,2,132
95,271,5,97.15,2,4,4,244
96,276,1,98.22,1,1,4,114
97,323,2,25.509999999999998,1,3,3,133
98,271,1,4.77,2,1,1,211
99,196,7,97.23,2,4,4,244
100,363,1,13.129999999999999,1,1,2,112
101,100,2,31.52,3,3,3,333
102,322,1,34.33,1,1,3,113
103,331,1,8.32,1,1,1,111
104,331,3,40.92,1,3,3,133
105,286,2,231.35,1,3,4,134
106,316,2,15.41,1,3,2,132
107,350,1,40.55,1,1,3,113
108,94,2,17.82,3,3,2,332
109,303,6,458.81,1,4,4,144
110,276,1,15.760000000000002,1,1,2,112
111,344,1,5.88,1,1,1,111
112,289,6,449.41999999999996,1,4,4,144
113,177,2,37.53,2,3,3,233
114,241,1,8.8,2,1,1,211
115,119,1,39.69,3,1,3,313
116,254,1,11.87,2,1,2,212
117,360,1,4.19,1,1,1,111
118,216,2,126.53999999999999,2,3,4,234
119,269,2,27.48,2,3,3,233
120,313,1,3.21,1,1,1,111
121,328,1,15.29,1,1,2,112
122,241,2,29.939999999999998,2,3,3,233
123,291,2,35.29,1,3,3,133
124,361,1,64.81,1,1,4,114
125,300,1,7.23,1,1,1,111
126,234,1,5.66,2,1,1,211
127,332,1,11.18,1,1,2,112
128,277,3,35.75,1,3,3,133
129,357,1,7.23,1,1,1,111
130,307,2,14.879999999999999,1,3,2,132
131,342,4,192.89,1,4,4,144
132,263,1,3.0,2,1,1,211
133,360,1,16.43,1,1,2,112
134,338,1,14.86,1,1,2,112
135,150,1,21.869999999999997,3,1,2,312
136,297,2,18.27,1,3,2,132
137,354,1,22.38,1,1,2,112
138,235,2,5.79,2,3,1,231
139,316,1,6.35,1,1,1,111
140,252,4,74.67,2,4,4,244
141,317,1,9.0,1,1,1,111
142,346,1,10.5,1,1,2,112
143,336,2,16.450000000000003,1,3,2,132
144,360,1,7.41,1,1,1,111
145,358,1,41.41,1,1,3,113
146,346,1,7.44,1,1,1,111
147,340,1,16.31,1,1,2,112
148,250,1,10.81,2,1,2,212
149,205,2,22.89,2,3,2,232
150,33,1,3.88,4,1,1,411
151,232,1,20.75,2,1,2,212
152,239,1,5.88,2,1,1,211
153,310,2,38.74,1,3,3,133
154,290,1,1.5,1,1,1,111
155,115,1,40.19,3,1,3,313
156,146,1,98.69000000000001,3,1,4,314
157,195,1,2.43,2,1,1,211
158,323,2,16.81,1,3,2,132
159,334,1,44.55,1,1,3,113
160,310,1,14.25,1,1,2,112
161,255,1,6.35,2,1,1,211
162,354,1,70.26,1,1,4,114
163,137,1,18.34,3,1,2,312
164,338,1,5.79,1,1,1,111
165,271,7,353.63,2,4,4,244
166,309,1,2.37,1,1,1,111
167,271,3,56.82000000000001,2,3,3,233
168,303,1,54.9,1,1,3,113
169,320,1,14.52,1,1,2,112
170,337,2,8.59,1,3,1,131
171,333,1,10.16,1,1,1,111
172,288,1,2.59,1,1,1,111
173,284,1,71.7,1,1,4,114
174,97,3,637.0,3,3,4,334
175,198,1,5.32,2,1,1,211
176,339,3,10.69,1,3,2,132
177,143,1,26.8,3,1,3,313
178,364,1,58.99,1,1,3,113
179,211,2,90.99000000000001,2,3,4,234
180,354,1,62.52,1,1,3,113
181,309,3,278.22,1,3,4,134
182,332,1,183.77,1,1,4,114
183,264,5,64.79,2,4,4,244
184,289,1,2.11,1,1,1,111
185,319,1,48.489999999999995,1,1,3,113
186,281,4,67.71,1,4,4,144
187,321,1,5.12,1,1,1,111
188,286,3,233.6,1,3,4,134
189,274,1,30.52,1,1,3,113
190,299,1,46.79,1,1,3,113
191,363,1,4.38,1,1,1,111
192,159,1,5.56,2,1,1,211
193,327,4,122.87,1,4,4,144
194,350,1,15.02,1,1,2,112
195,364,1,13.1,1,1,2,112
196,353,1,62.52,1,1,3,113
197,308,2,21.94,1,3,2,132
198,325,2,196.39,1,3,4,134
199,355,1,25.89,1,1,3,113
200,330,1,16.86,1,1,2,112
201,293,2,23.990000000000002,1,3,3,133
202,339,2,211.64000000000001,1,3,4,134
203,327,1,6.68,1,1,1,111
204,318,1,7.94,1,1,1,111
205,296,3,49.55,1,3,3,133
206,265,1,7.12,2,1,1,211
207,274,1,6.75,1,1,1,111
208,147,4,48.8,3,4,3,343
209,34,1,13.0,4,1,2,412
210,273,4,284.15,1,4,4,144
211,139,1,11.0,3,1,2,312
212,289,1,26.060000000000002,1,1,3,113
213,185,4,112.03,2,4,4,244
214,230,2,49.900000000000006,2,3,3,233
215,238,1,12.23,2,1,2,212
216,358,1,2.13,1,1,1,111
217,123,6,263.49,3,4,4,344
218,309,2,25.46,1,3,3,133
219,356,1,7.3,1,1,1,111
220,320,1,13.07,1,1,2,112
221,127,4,36.97,3,4,3,343
222,136,6,35.67,3,4,3,343
223,157,2,9.06,2,3,1,231
224,287,2,21.69,1,3,2,132
225,299,1,15.25,1,1,2,112
226,288,3,83.62,1,3,4,134
227,327,1,3.28,1,1,1,111
228,283,4,106.72,1,4,4,144
229,354,1,15.149999999999999,1,1,2,112
230,320,1,117.32,1,1,4,114
231,251,2,29.1,2,3,3,233
232,347,1,538.88,1,1,4,114
233,256,1,6.75,2,1,1,211
234,355,1,13.09,1,1,2,112
235,331,1,21.22,1,1,2,112
236,98,2,22.310000000000002,3,3,2,332
237,235,2,12.0,2,3,2,232
238,188,2,4.07,2,3,1,231
239,260,1,19.67,2,1,2,212
240,337,1,36.97,1,1,3,113
241,333,1,18.0,1,1,2,112
242,320,1,42.16,1,1,3,113
243,267,1,22.54,2,1,2,212
244,250,1,11.69,2,1,2,212
245,304,3,644.64,1,3,4,134
246,285,3,36.87,1,3,3,133
247,182,1,7.23,2,1,1,211
248,284,1,1.06,1,1,1,111
249,302,2,12.450000000000001,1,3,2,132
250,271,1,90.33,2,1,4,214
251,148,2,19.57,3,3,2,332
252,314,1,8.46,1,1,1,111
253,309,1,42.42,1,1,3,113
254,221,1,28.05,2,1,3,213
255,233,1,3.69,2,1,1,211
256,317,1,62.37,1,1,3,113
257,333,1,84.81,1,1,4,114
258,326,1,7.9,1,1,1,111
259,277,2,73.72000000000001,1,3,4,134
260,281,5,46.18,1,4,3,143
261,142,1,15.12,3,1,2,312
262,272,3,163.95999999999998,2,3,4,234
263,267,4,111.32,2,4,4,244
264,305,1,21.3,1,1,2,112
265,32,3,23.39,4,3,2,432
266,286,7,555.29,1,4,4,144
267,313,2,173.45000000000002,1,3,4,134
268,260,1,6.21,2,1,1,211
269,360,1,10.27,1,1,2,112
270,334,1,7.41,1,1,1,111
271,281,1,10.02,1,1,1,111
272,340,1,14.620000000000001,1,1,2,112
273,354,1,4.26,1,1,1,111
274,303,6,199.78,1,4,4,144
275,297,13,131.47,1,4,4,144
276,172,1,7.5,2,1,1,211
277,344,1,4.12,1,1,1,111
278,206,1,11.04,2,1,2,212
279,298,4,103.29,1,4,4,144
280,330,1,9.0,1,1,1,111
281,290,1,7.57,1,1,1,111
282,271,8,151.27,2,4,4,244
283,329,1,19.29,1,1,2,112
284,287,2,9.69,1,3,1,131
285,250,2,12.56,2,3,2,232
286,297,2,14.02,1,3,2,132
287,248,1,6.07,2,1,1,211
288,249,8,65.59,2,4,4,244
289,289,6,44.71,1,4,3,143
290,296,1,16.240000000000002,1,1,2,112
291,324,1,5.87,1,1,1,111
292,290,1,16.73,1,1,2,112
293,122,2,22.88,3,3,2,332
294,334,1,8.52,1,1,1,111
295,355,1,13.170000000000002,1,1,2,112
296,258,2,74.73,2,3,4,234
297,307,1,72.43,1,1,4,114
298,186,2,22.42,2,3,2,232
299,358,1,11.030000000000001,1,1,2,112
300,337,1,6.61,1,1,1,111
301,295,3,104.88,1,3,4,134
302,330,2,28.980000000000004,1,3,3,133
303,283,1,10.969999999999999,1,1,2,112
304,354,1,35.69,1,1,3,113
305,285,1,47.120000000000005,1,1,3,113
306,178,1,44.37,2,1,3,213
307,355,1,7.94,1,1,1,111
308,138,7,169.93,3,4,4,344
309,199,1,4.49,2,1,1,211
310,20,1,13.93,4,1,2,412
311,299,1,50.69,1,1,3,113
312,338,3,78.88,1,3,4,134
313,337,1,10.5,1,1,2,112
314,181,2,8.04,2,3,1,231
315,278,1,21.83,1,1,2,112
316,350,1,10.46,1,1,2,112
317,292,1,14.27,1,1,2,112
318,349,1,45.41,1,1,3,113
319,337,1,213.57,1,1,4,114
320,339,1,92.17999999999999,1,1,4,114
321,316,1,7.539999999999999,1,1,1,111
322,307,2,79.21,1,3,4,134
323,281,1,15.18,1,1,2,112
324,303,1,25.29,1,1,3,113
325,300,2,48.09,1,3,3,133
326,270,1,14.97,2,1,2,212
327,324,1,13.059999999999999,1,1,2,112
328,206,2,85.09,2,3,4,234
329,347,1,25.689999999999998,1,1,3,113
330,344,1,10.02,1,1,1,111
331,337,1,3.41,1,1,1,111
332,278,5,84.88999999999999,1,4,4,144
333,140,2,12.0,3,3,2,332
334,258,9,645.78,2,4,4,244
335,307,1,4.91,1,1,1,111
336,284,1,6.33,1,1,1,111
337,258,2,21.78,2,3,2,232
338,299,2,115.78999999999999,1,3,4,134
339,298,4,777.1800000000001,1,4,4,144
340,299,1,4.02,1,1,1,111
341,346,1,11.25,1,1,2,112
342,253,5,33.989999999999995,2,4,3,243
343,364,1,6.75,1,1,1,111
344,255,9,82.78,2,4,4,244
345,339,2,11.68,1,3,2,132
346,221,3,84.06,2,3,4,234
347,299,5,120.53999999999999,1,4,4,144
348,127,2,73.71,3,3,4,334
349,303,1,12.25,1,1,2,112
350,345,2,17.259999999999998,1,3,2,132
351,297,1,17.18,1,1,2,112
352,322,1,36.97,1,1,3,113
353,256,7,89.14,2,4,4,244
354,212,2,92.93,2,3,4,234
355,315,1,20.19,1,1,2,112
356,332,1,6.62,1,1,1,111
357,309,3,37.42,1,3,3,133
358,83,2,14.309999999999999,3,3,2,332
359,351,1,68.72999999999999,1,1,4,114
360,313,1,3.53,1,1,1,111
361,329,1,19.51,1,1,2,112
362,170,1,40.13,2,1,3,213
363,243,1,16.38,2,1,2,212
364,290,1,19.63,1,1,2,112
365,289,1,3.82,1,1,1,111
366,305,7,84.3,1,4,4,144
367,335,1,3.96,1,1,1,111
368,329,2,34.03,1,3,3,133
369,311,1,9.0,1,1,1,111
370,341,1,5.19,1,1,1,111
371,308,1,2.21,1,1,1,111
372,296,1,16.36,1,1,2,112
373,360,1,15.36,1,1,2,112
374,301,2,15.82,1,3,2,132
375,330,2,70.27,1,3,4,134
376,321,1,3.81,1,1,1,111
377,269,1,11.0,2,1,2,212
378,141,1,6.75,3,1,1,311
379,352,1,36.63,1,1,3,113
380,283,1,4.02,1,1,1,111
381,324,1,6.68,1,1,1,111
382,143,2,75.81,3,3,4,334
383,325,1,68.65,1,1,4,114
384,346,1,39.75,1,1,3,113
385,207,1,22.33,2,1,2,212
386,187,6,110.31,2,4,4,244
387,275,1,9.5,1,1,1,111
388,220,1,34.629999999999995,2,1,3,213
389,333,1,8.18,1,1,1,111
390,302,1,14.44,1,1,2,112
391,358,1,21.86,1,1,2,112
392,194,1,5.38,2,1,1,211
393,302,2,88.62,1,3,4,134
394,313,2,13.31,1,3,2,132
395,321,4,414.46,1,4,4,144
396,336,1,5.79,1,1,1,111
397,271,1,21.86,2,1,2,212
398,138,5,150.93,3,4,4,344
399,364,1,10.43,1,1,2,112
400,232,1,4.81,2,1,1,211
401,185,1,6.54,2,1,1,211
402,256,1,3.88,2,1,1,211
403,275,3,32.620000000000005,1,3,3,133
404,24,1,15.08,4,1,2,412
405,282,2,51.19,1,3,3,133
406,304,1,18.880000000000003,1,1,2,112
407,287,1,7.44,1,1,1,111
408,177,3,142.83,2,3,4,234
409,338,1,7.88,1,1,1,111
410,272,4,81.33,2,4,4,244
411,293,1,2.97,1,1,1,111
412,327,2,60.59,1,3,3,133
413,210,2,31.43,2,3,3,233
414,179,2,67.23,2,3,4,234
415,296,3,31.8,1,3,3,133
416,295,3,52.15,1,3,3,133
417,241,1,9.13,2,1,1,211
418,312,1,19.12,1,1,2,112
419,286,1,200.63,1,1,4,114
420,149,2,45.82,3,3,3,333
421,305,1,33.4,1,1,3,113
422,313,2,28.36,1,3,3,133
423,185,2,208.23000000000002,2,3,4,234
424,275,6,164.98,1,4,4,144
425,333,1,3.34,1,1,1,111
426,236,1,11.5,2,1,2,212
427,364,1,15.19,1,1,2,112
428,362,1,4.91,1,1,1,111
429,353,1,25.53,1,1,3,113
430,319,1,21.54,1,1,2,112
431,314,1,5.03,1,1,1,111
432,283,2,288.31,1,3,4,134
433,311,1,15.329999999999998,1,1,2,112
434,318,1,15.61,1,1,2,112
435,319,1,14.37,1,1,2,112
436,119,3,32.08,3,3,3,333
437,255,1,4.02,2,1,1,211
438,255,1,5.73,2,1,1,211
439,302,1,87.03,1,1,4,114
440,206,1,7.27,2,1,1,211
441,285,1,25.18,1,1,3,113
442,48,1,11.75,4,1,2,412
443,275,1,12.64,1,1,2,112
444,256,2,25.540000000000003,2,3,3,233
445,318,1,24.93,1,1,3,113
446,145,2,14.760000000000002,3,3,2,332
447,227,3,62.04,2,3,3,233
448,240,2,66.04,2,3,4,234
449,348,1,26.740000000000002,1,1,3,113
450,260,3,47.480000000000004,2,3,3,233
451,30,1,7.5,4,1,1,411
452,320,1,18.8,1,1,2,112
453,32,1,21.12,4,1,2,412
454,312,2,10.440000000000001,1,3,2,132
455,249,1,116.46,2,1,4,214
456,281,2,15.11,1,3,2,132
457,316,1,55.43,1,1,3,113
458,309,2,39.82,1,3,3,133
459,351,1,7.74,1,1,1,111
460,171,1,6.75,2,1,1,211
461,337,1,22.19,1,1,2,112
462,358,1,18.54,1,1,2,112
463,213,1,8.46,2,1,1,211
464,334,1,48.150000000000006,1,1,3,113
465,276,1,3.18,1,1,1,111
466,282,1,48.69,1,1,3,113
467,327,1,9.35,1,1,1,111
468,358,1,1.36,1,1,1,111
469,266,3,24.92,2,3,3,233
470,282,1,11.18,1,1,2,112
471,278,1,4.26,1,1,1,111
472,102,3,41.83,3,3,3,333
473,284,5,75.8,1,4,4,144
474,320,1,23.42,1,1,2,112
475,82,1,25.98,3,1,3,313
476,310,1,3.07,1,1,1,111
477,131,2,73.5,3,3,4,334
478,106,1,19.68,3,1,2,312
479,171,1,35.37,2,1,3,213
480,270,1,5.73,2,1,1,211
481,295,2,15.280000000000001,1,3,2,132
482,278,3,41.9,1,3,3,133
483,344,1,15.99,1,1,2,112
484,128,1,11.62,3,1,2,312
485,262,2,79.08,2,3,4,234
486,353,1,6.01,1,1,1,111
487,343,1,7.9,1,1,1,111
488,310,1,16.58,1,1,2,112
489,336,1,14.92,1,1,2,112
490,339,1,13.14,1,1,2,112
491,281,3,38.230000000000004,1,3,3,133
492,337,1,7.26,1,1,1,111
493,336,1,26.88,1,1,3,113
494,257,2,30.57,2,3,3,233
495,164,1,18.95,2,1,2,212
496,320,2,75.67,1,3,4,134
497,162,2,31.229999999999997,2,3,3,233
498,330,1,24.0,1,1,3,113
499,289,4,66.59,1,4,4,144
500,303,1,4.44,1,1,1,111
501,301,5,61.59,1,4,3,143
502,292,1,18.27,1,1,2,112
503,261,1,7.789999999999999,2,1,1,211
504,157,8,173.57999999999998,2,4,4,244
505,348,1,8.46,1,1,1,111
506,339,2,35.42,1,3,3,133
507,344,1,5.45,1,1,1,111
508,152,1,92.93,2,1,4,214
509,351,1,10.26,1,1,2,112
510,132,2,16.5,3,3,2,332
511,271,1,83.2,2,1,4,214
512,308,3,51.86,1,3,3,133
513,124,1,10.39,3,1,2,312
514,337,1,2.86,1,1,1,111
515,294,2,43.44,1,3,3,133
516,132,2,12.43,3,3,2,332
517,343,1,6.54,1,1,1,111
518,145,2,25.98,3,3,3,333
519,308,1,13.07,1,1,2,112
520,313,1,9.93,1,1,1,111
521,287,2,62.5,1,3,3,133
522,239,1,4.57,2,1,1,211
523,324,2,200.29,1,3,4,134
524,355,1,32.629999999999995,1,1,3,113
525,329,1,16.14,1,1,2,112
526,250,1,5.01,2,1,1,211
527,222,4,50.18,2,4,3,243
528,331,2,457.35,1,3,4,134
529,175,1,17.93,2,1,2,212
530,305,2,40.0,1,3,3,133
531,35,1,42.09,4,1,3,413
532,88,1,11.9,3,1,2,312
533,215,5,174.62,2,4,4,244
534,323,1,6.609999999999999,1,1,1,111
535,318,1,7.279999999999999,1,1,1,111
536,253,2,406.36,2,3,4,234
537,258,1,5.87,2,1,1,211
538,142,2,28.15,3,3,3,333
539,230,1,35.64,2,1,3,213
540,340,1,42.2,1,1,3,113
541,40,1,45.13,4,1,3,413
542,335,1,10.09,1,1,1,111
543,333,1,11.05,1,1,2,112
544,256,1,13.66,2,1,2,212
545,288,4,24.57,1,4,3,143
546,251,5,49.11,2,4,3,243
547,262,2,15.01,2,3,2,232
548,292,1,1.77,1,1,1,111
549,265,2,19.32,2,3,2,232
550,300,1,17.52,1,1,2,112
551,305,2,628.17,1,3,4,134
552,343,1,7.84,1,1,1,111
553,97,1,7.15,3,1,1,311
554,174,1,2.37,2,1,1,211
555,262,1,4.02,2,1,1,211
556,290,2,59.209999999999994,1,3,3,133
557,207,5,77.71,2,4,4,244
558,273,1,13.16,1,1,2,112
559,264,1,6.87,2,1,1,211
560,346,1,16.83,1,1,2,112
561,354,1,51.07,1,1,3,113
562,334,2,20.009999999999998,1,3,2,132
563,312,1,326.89,1,1,4,114
564,299,1,39.51,1,1,3,113
565,291,1,11.79,1,1,2,112
566,231,1,22.630000000000003,2,1,2,212
567,344,1,10.1,1,1,1,111
568,233,1,2.06,2,1,1,211
569,230,1,4.27,2,1,1,211
570,241,1,4.57,2,1,1,211
571,347,1,40.76,1,1,3,113
572,166,1,19.02,2,1,2,212
573,331,1,12.0,1,1,2,112
574,359,1,13.04,1,1,2,112
575,200,1,6.35,2,1,1,211
576,359,1,33.63,1,1,3,113
577,285,1,6.75,1,1,1,111
578,205,1,4.38,2,1,1,211
579,286,1,3.82,1,1,1,111
580,248,1,4.5,2,1,1,211
581,289,2,10.709999999999999,1,3,2,132
582,283,2,17.21,1,3,2,132
583,312,1,8.94,1,1,1,111
584,240,1,62.16,2,1,3,213
585,289,2,360.71,1,3,4,134
586,328,1,7.77,1,1,1,111
587,245,2,11.86,2,3,2,232
588,244,1,29.75,2,1,3,213
589,287,1,7.26,1,1,1,111
590,268,3,33.38,2,3,3,233
591,228,1,13.41,2,1,2,212
592,243,4,56.730000000000004,2,4,3,243
593,236,1,6.12,2,1,1,211
594,331,1,3.22,1,1,1,111
595,304,1,91.0,1,1,4,114
596,315,1,44.92,1,1,3,113
597,281,6,290.49,1,4,4,144
598,290,6,189.4,1,4,4,144
599,304,1,6.35,1,1,1,111
600,233,3,71.36,2,3,4,234
601,289,1,16.56,1,1,2,112
602,278,2,14.34,1,3,2,132
603,276,4,83.78,1,4,4,144
604,275,1,18.63,1,1,2,112
605,232,3,21.009999999999998,2,3,2,232
606,344,1,2.59,1,1,1,111
607,86,1,8.75,3,1,1,311
608,347,1,2.59,1,1,1,111
609,301,3,64.88,1,3,4,134
610,360,1,25.2,1,1,3,113
611,312,3,130.06,1,3,4,134
612,247,5,59.199999999999996,2,4,3,243
613,298,5,91.78999999999999,1,4,4,144
614,337,2,125.11,1,3,4,134
615,353,1,14.17,1,1,2,112
616,264,2,40.650000000000006,2,3,3,233
617,348,2,35.64,1,3,3,133
618,278,1,5.32,1,1,1,111
619,323,1,77.4,1,1,4,114
620,311,3,68.93,1,3,4,134
621,320,1,154.54,1,1,4,114
622,292,1,231.43,1,1,4,114
623,155,1,9.48,2,1,1,211
624,251,3,13.21,2,3,2,232
625,323,1,15.530000000000001,1,1,2,112
626,128,2,28.56,3,3,3,333
627,323,2,14.46,1,3,2,132
628,298,1,327.13,1,1,4,114
629,262,1,15.88,2,1,2,212
630,187,1,146.79,2,1,4,214
631,298,4,36.09,1,4,3,143
632,73,6,140.1,3,4,4,344
633,287,1,11.18,1,1,2,112
634,107,8,204.0,3,4,4,344
635,321,1,1.77,1,1,1,111
636,325,1,25.06,1,1,3,113
637,273,1,19.17,1,1,2,112
638,318,3,20.68,1,3,2,132
639,350,1,9.11,1,1,1,111
640,296,1,11.69,1,1,2,112
641,249,5,66.95,2,4,4,244
642,218,2,16.130000000000003,2,3,2,232
643,292,3,110.78,1,3,4,134
644,282,1,7.38,1,1,1,111
645,311,2,80.41,1,3,4,134
646,241,1,14.46,2,1,2,212
647,225,4,112.7,2,4,4,244
648,213,2,14.26,2,3,2,232
649,323,1,2.11,1,1,1,111
650,345,1,4.94,1,1,1,111
651,262,4,513.4,2,4,4,244
652,274,2,142.51999999999998,1,3,4,134
653,302,4,67.16,1,4,4,144
654,178,5,62.739999999999995,2,4,3,243
655,247,1,10.5,2,1,2,212
656,303,1,2.11,1,1,1,111
657,277,2,23.48,1,3,2,132
658,75,4,263.55,3,4,4,344
659,333,2,92.44,1,3,4,134
660,343,1,7.63,1,1,1,111
661,250,1,18.88,2,1,2,212
662,330,1,57.51,1,1,3,113
663,266,1,8.88,2,1,1,211
664,352,1,28.4,1,1,3,113
665,226,1,14.25,2,1,2,212
666,45,2,16.22,4,3,2,432
667,252,1,3.13,2,1,1,211
668,255,1,20.85,2,1,2,212
669,116,5,236.46,3,4,4,344
670,312,1,2.0,1,1,1,111
671,259,2,26.93,2,3,3,233
672,340,1,59.62,1,1,3,113
673,153,4,151.7,2,4,4,244
674,236,1,65.43,2,1,4,214
675,295,2,165.01,1,3,4,134
676,316,1,6.75,1,1,1,111
677,246,1,47.620000000000005,2,1,3,213
678,222,7,152.42,2,4,4,244
679,185,2,27.0,2,3,3,233
680,291,1,12.71,1,1,2,112
681,287,1,9.809999999999999,1,1,1,111
682,293,1,17.54,1,1,2,112
683,245,5,122.36,2,4,4,244
684,345,1,8.16,1,1,1,111
685,358,1,11.18,1,1,2,112
686,272,1,4.57,2,1,1,211
687,260,3,90.23,2,3,4,234
688,316,5,39.43,1,4,3,143
689,306,1,9.13,1,1,1,111
690,322,1,6.5,1,1,1,111
691,334,1,8.76,1,1,1,111
692,260,4,50.1,2,4,3,243
693,344,1,17.55,1,1,2,112
694,119,1,16.38,3,1,2,312
695,175,1,11.370000000000001,2,1,2,212
696,176,1,9.559999999999999,2,1,1,211
697,259,2,19.62,2,3,2,232
698,248,6,163.66,2,4,4,244
699,292,8,162.26,1,4,4,144
700,292,1,94.5,1,1,4,114
701,251,3,12.54,2,3,2,232
702,356,2,26.6,1,3,3,133
703,318,2,91.17,1,3,4,134
704,261,3,12.690000000000001,2,3,2,232
705,248,1,5.8,2,1,1,211
706,269,1,3.93,2,1,1,211
707,258,4,126.78,2,4,4,244
708,322,2,20.58,1,3,2,132
709,317,1,14.37,1,1,2,112
710,335,3,32.33,1,3,3,133
711,349,2,44.87,1,3,3,133
712,269,7,70.8,2,4,4,244
713,298,3,34.07,1,3,3,133
714,217,2,25.75,2,3,3,233
715,358,1,42.87,1,1,3,113
716,283,1,24.82,1,1,3,113
717,345,1,2.37,1,1,1,111
718,192,1,5.46,2,1,1,211
719,307,1,11.04,1,1,2,112
720,340,1,9.68,1,1,1,111
721,256,1,19.18,2,1,2,212
722,257,1,6.07,2,1,1,211
723,348,1,23.57,1,1,2,112
724,289,2,21.36,1,3,2,132
725,302,2,25.369999999999997,1,3,3,133
726,326,1,5.73,1,1,1,111
727,335,1,7.09,1,1,1,111
728,257,1,3.44,2,1,1,211
729,185,2,14.25,2,3,2,232
730,230,4,41.62,2,4,3,243
731,305,1,6.81,1,1,1,111
732,244,3,63.93000000000001,2,3,4,234
733,128,1,6.75,3,1,1,311
734,231,1,5.12,2,1,1,211
735,272,1,4.3,2,1,1,211
736,263,2,33.46,2,3,3,233
737,354,1,15.66,1,1,2,112
738,345,1,6.9,1,1,1,111
739,340,1,10.32,1,1,2,112
740,302,7,507.92,1,4,4,144
741,281,8,308.3,1,4,4,144
742,244,1,35.47,2,1,3,213
743,264,4,35.93,2,4,3,243
744,309,4,130.95,1,4,4,144
745,274,3,30.06,1,3,3,133
746,133,1,13.97,3,1,2,312
747,292,3,53.010000000000005,1,3,3,133
748,78,1,7.43,3,1,1,311
749,275,2,27.56,1,3,3,133
750,289,1,25.44,1,1,3,113
751,327,1,9.38,1,1,1,111
